mass_A
t	x	y
2.804666667E2	-4.082225725E-6	5.435961853E-6
2.805000000E2	-4.084521827E-6	5.435703320E-6
2.805333333E2	-3.935807904E-6	5.734287873E-6
2.805666667E2	-3.939111510E-6	5.730398936E-6
2.806000000E2	-3.941075566E-6	5.729201266E-6
2.806333333E2	-3.942057855E-6	5.727066933E-6
2.806666667E2	-3.940120787E-6	5.737694575E-6
2.807000000E2	-3.941681057E-6	5.732167322E-6
2.807333333E2	-3.942154281E-6	5.728803918E-6
2.807666667E2	-3.943017114E-6	5.726994195E-6
2.808000000E2	-4.058877737E-6	5.642623345E-6
2.808333333E2	-4.052110878E-6	5.636788665E-6
2.808666667E2	-4.048126612E-6	5.633875869E-6
2.809000000E2	-4.045531603E-6	5.631889148E-6
2.809333333E2	-4.141045473E-6	5.512963456E-6
2.809666667E2	-4.139611274E-6	5.520056447E-6
2.810000000E2	-4.140387685E-6	5.523252223E-6
2.810333333E2	-4.138985404E-6	5.526195883E-6
2.810666667E2	-4.180026061E-6	5.679889161E-6
2.811000000E2	-4.182426413E-6	5.678191786E-6
2.811333333E2	-4.183689932E-6	5.678049672E-6
2.811666667E2	-4.184174617E-6	5.677117293E-6
2.812000000E2	-4.239061948E-6	5.628867007E-6
2.812333333E2	-4.236762713E-6	5.628456099E-6
2.812666667E2	-4.235963527E-6	5.628634326E-6
2.813000000E2	-4.234950185E-6	5.628197984E-6
2.813333333E2	-4.126887136E-6	5.391794705E-6
2.813666667E2	-4.131420597E-6	5.389693333E-6
2.814000000E2	-4.133428310E-6	5.388793017E-6
2.814333333E2	-4.134533615E-6	5.388174545E-6
2.814666667E2	-4.132861619E-6	5.482647723E-6
2.815000000E2	-4.134462339E-6	5.482919594E-6
2.815333333E2	-4.135050190E-6	5.483266179E-6
2.815666667E2	-4.135589592E-6	5.483234216E-6
2.816000000E2	-4.169937248E-6	5.487436691E-6
2.816333333E2	-4.176921760E-6	5.486102854E-6
2.816666667E2	-4.180294336E-6	5.485678426E-6
2.817000000E2	-4.182027896E-6	5.484921599E-6
2.817333333E2	-4.177144947E-6	5.584458378E-6
2.817666667E2	-4.180369366E-6	5.582818399E-6
2.818000000E2	-4.181158720E-6	5.582171715E-6
2.818333333E2	-4.182568026E-6	5.581234996E-6
2.818666667E2	-4.330180946E-6	5.458173717E-6
2.819000000E2	-4.329653321E-6	5.446782341E-6
2.819333333E2	-4.519892804E-6	5.341621789E-6
2.819666667E2	-4.520478278E-6	5.340278862E-6
2.820000000E2	-4.520558594E-6	5.339788297E-6
2.820333333E2	-4.521001652E-6	5.339308161E-6
2.820666667E2	-4.707297555E-6	5.227511162E-6
2.821000000E2	-4.710146705E-6	5.233585738E-6
2.821333333E2	-4.711420049E-6	5.237286847E-6
2.821666667E2	-4.712202029E-6	5.239095312E-6
2.822000000E2	-4.724010288E-6	5.195773158E-6
2.822333333E2	-4.720935122E-6	5.195027444E-6
2.822666667E2	-4.719072647E-6	5.193098584E-6
2.823000000E2	-4.717576870E-6	5.193717884E-6
2.823333333E2	-4.696103147E-6	5.173964340E-6
2.823666667E2	-4.703574382E-6	5.182657603E-6
2.824000000E2	-4.709648954E-6	5.188886116E-6
2.824333333E2	-4.711112646E-6	5.190952833E-6
2.824666667E2	-4.666174783E-6	5.272500163E-6
2.825000000E2	-4.666114672E-6	5.280011398E-6
2.825333333E2	-4.666837212E-6	5.285282794E-6
2.825666667E2	-4.666591926E-6	5.287297152E-6
2.826000000E2	-4.560485174E-6	5.284394415E-6
2.826333333E2	-4.564090626E-6	5.286488519E-6
2.826666667E2	-4.566246815E-6	5.287901101E-6
2.827000000E2	-4.567469290E-6	5.288824450E-6
2.827333333E2	-4.375001659E-6	5.364148667E-6
2.827666667E2	-4.375946540E-6	5.373794340E-6
2.828000000E2	-4.377608309E-6	5.380154448E-6
2.828333333E2	-4.377447786E-6	5.382656840E-6
2.828666667E2	-4.460813204E-6	5.485120446E-6
2.829000000E2	-4.466325170E-6	5.484625363E-6
2.829333333E2	-4.468283614E-6	5.484026490E-6
2.829666667E2	-4.470005802E-6	5.483738544E-6
2.830000000E2	-4.391002598E-6	5.539333984E-6
2.830333333E2	-4.386059820E-6	5.535725393E-6
2.830666667E2	-4.383171190E-6	5.533901426E-6
2.831000000E2	-4.381187894E-6	5.532916868E-6
2.831333333E2	-4.528228016E-6	5.763867021E-6
2.831666667E2	-4.525744014E-6	5.767310366E-6
2.832000000E2	-4.524951350E-6	5.768946411E-6
2.832333333E2	-4.523551171E-6	5.770030413E-6
2.832666667E2	-4.729241545E-6	5.962418777E-6
2.833000000E2	-4.723364915E-6	5.963216442E-6
2.833333333E2	-4.720116989E-6	5.962406270E-6
2.833666667E2	-4.717958152E-6	5.963003225E-6
2.834000000E2	-4.797625436E-6	5.855648342E-6
2.834333333E2	-4.802041342E-6	5.860220737E-6
2.834666667E2	-4.804790352E-6	5.862648248E-6
2.835000000E2	-4.806356809E-6	5.864496148E-6
2.835333333E2	-4.895846919E-6	5.876615714E-6
2.835666667E2	-4.899535554E-6	5.873669550E-6
2.836000000E2	-4.901650305E-6	5.871326936E-6
2.836333333E2	-4.903113689E-6	5.870227852E-6
2.836666667E2	-4.859204110E-6	5.725811843E-6
2.837000000E2	-4.860649241E-6	5.725596924E-6
2.837333333E2	-4.859537188E-6	5.724980441E-6
2.837666667E2	-4.859075966E-6	5.724518701E-6
2.838000000E2	-4.765566601E-6	5.673252096E-6
2.838333333E2	-4.765152097E-6	5.673980180E-6
2.838666667E2	-4.765310470E-6	5.675110820E-6
2.839000000E2	-4.729638188E-6	5.685906109E-6
2.839333333E2	-4.722737226E-6	5.682248843E-6
2.839666667E2	-4.720572618E-6	5.680859954E-6
2.840000000E2	-4.720773003E-6	5.680378752E-6
2.840333333E2	-4.764078626E-6	5.483240777E-6
2.840666667E2	-4.763421162E-6	5.483402666E-6
2.841000000E2	-4.764473286E-6	5.482407977E-6
2.841333333E2	-4.763734860E-6	5.482816207E-6
2.841666667E2	-4.617727936E-6	5.578076381E-6
2.842000000E2	-4.617609616E-6	5.578431127E-6
2.842333333E2	-4.617648154E-6	5.578602565E-6
2.842666667E2	-4.617672060E-6	5.578861211E-6
2.843000000E2	-4.550058222E-6	5.895063192E-6
2.843333333E2	-4.559429278E-6	5.905190269E-6
2.843666667E2	-4.563607362E-6	5.910289952E-6
2.844000000E2	-4.565866104E-6	5.912683945E-6
2.844333333E2	-4.518354636E-6	5.730537151E-6
2.844666667E2	-4.519531103E-6	5.728257517E-6
2.845000000E2	-4.520187147E-6	5.727232764E-6
2.845333333E2	-4.521324439E-6	5.725665096E-6
2.845666667E2	-4.410909516E-6	5.888979643E-6
2.846000000E2	-4.417715696E-6	5.881621405E-6
2.846333333E2	-4.420204228E-6	5.875898463E-6
2.846666667E2	-4.421960614E-6	5.872931192E-6
2.847000000E2	-4.291986927E-6	5.880069109E-6
2.847333333E2	-4.288576311E-6	5.875503573E-6
2.847666667E2	-4.285810757E-6	5.873001636E-6
2.848000000E2	-4.285464028E-6	5.871068318E-6
2.848333333E2	-4.326985292E-6	5.774415297E-6
2.848666667E2	-4.327748267E-6	5.773249526E-6
2.849000000E2	-4.328734039E-6	5.772953934E-6
2.849333333E2	-4.328757681E-6	5.772581614E-6
2.849666667E2	-4.423545695E-6	5.631293930E-6
2.850000000E2	-4.423779405E-6	5.631902207E-6
2.850333333E2	-4.425659319E-6	5.629844945E-6
2.850666667E2	-4.425562705E-6	5.628787536E-6
2.851000000E2	-4.374573929E-6	5.624398894E-6
2.851333333E2	-4.375648176E-6	5.625466191E-6
2.851666667E2	-4.376894186E-6	5.626372114E-6
2.852000000E2	-4.377483440E-6	5.626249299E-6
2.852333333E2	-4.278943681E-6	5.665455631E-6
2.852666667E2	-4.279603195E-6	5.669975148E-6
2.853000000E2	-4.279700001E-6	5.672489084E-6
2.853333333E2	-4.280091823E-6	5.673687612E-6
2.853666667E2	-4.367560971E-6	5.575274988E-6
2.854000000E2	-4.371559134E-6	5.576684416E-6
2.854333333E2	-4.371371221E-6	5.576395235E-6
2.854666667E2	-4.373424339E-6	5.577560374E-6
2.855000000E2	-4.382611868E-6	5.638264350E-6
2.855333333E2	-4.380663990E-6	5.633760634E-6
2.855666667E2	-4.381184760E-6	5.631984921E-6
2.856000000E2	-4.379770800E-6	5.630412182E-6
2.856333333E2	-4.461825569E-6	5.537577580E-6
2.856666667E2	-4.466676728E-6	5.535607938E-6
2.857000000E2	-4.469364763E-6	5.534908245E-6
2.857333333E2	-4.470710897E-6	5.533668343E-6
2.857666667E2	-4.300344244E-6	5.424188379E-6
2.858000000E2	-4.292953957E-6	5.428429086E-6
2.858333333E2	-4.289890796E-6	5.431166715E-6
2.858666667E2	-4.286772160E-6	5.432627731E-6
2.859000000E2	-4.268628665E-6	5.148820093E-6
2.859333333E2	-4.274070809E-6	5.148057547E-6
2.859666667E2	-4.277384156E-6	5.148529052E-6
2.860000000E2	-4.278055948E-6	5.148469273E-6
2.860333333E2	-4.284235723E-6	5.039302649E-6
2.860666667E2	-4.283171202E-6	5.043688819E-6
2.861000000E2	-4.282487486E-6	5.046136508E-6
2.861333333E2	-4.282032999E-6	5.047619948E-6
2.861666667E2	-4.038849735E-6	5.112964546E-6
2.862000000E2	-4.039931151E-6	5.107231623E-6
2.862333333E2	-4.040584438E-6	5.104320716E-6
2.862666667E2	-4.040464593E-6	5.101912909E-6
2.863000000E2	-3.999473993E-6	5.026405827E-6
2.863333333E2	-3.996991720E-6	5.037935290E-6
2.863666667E2	-3.995554016E-6	5.043302348E-6
2.864000000E2	-3.994351855E-6	5.046089888E-6
2.864333333E2	-3.757296566E-6	5.105033949E-6
2.864666667E2	-3.755040094E-6	5.103059735E-6
2.865000000E2	-3.753469304E-6	5.102043184E-6
2.865333333E2	-3.752851836E-6	5.100808975E-6
2.865666667E2	-3.759572646E-6	5.128914549E-6
2.866000000E2	-3.757194356E-6	5.137035501E-6
2.866333333E2	-3.755573980E-6	5.141006602E-6
2.866666667E2	-3.754333040E-6	5.143207765E-6
2.867000000E2	-3.753306190E-6	5.292814563E-6
2.867333333E2	-3.753056729E-6	5.292071174E-6
2.867666667E2	-3.752561469E-6	5.292063825E-6
2.868000000E2	-3.752274010E-6	5.291568331E-6
2.868333333E2	-3.708569085E-6	5.184922805E-6
2.868666667E2	-3.706971059E-6	5.189064855E-6
2.869000000E2	-3.706131931E-6	5.190863989E-6
2.869333333E2	-3.705355120E-6	5.192216444E-6
2.869666667E2	-3.861655631E-6	5.379616756E-6
2.870000000E2	-3.856437630E-6	5.384517649E-6
2.870333333E2	-3.853490771E-6	5.385813651E-6
2.870666667E2	-3.851439632E-6	5.386186439E-6
2.871000000E2	-3.769643638E-6	5.298566582E-6
2.871333333E2	-3.762542638E-6	5.296221789E-6
2.871666667E2	-3.757763711E-6	5.295265725E-6
2.872000000E2	-3.755693419E-6	5.293767687E-6
2.872333333E2	-3.599011504E-6	5.384940369E-6
2.872666667E2	-3.603124010E-6	5.386031650E-6
2.873000000E2	-3.604674107E-6	5.386336352E-6
2.873333333E2	-3.605847300E-6	5.386531360E-6
2.873666667E2	-3.518788150E-6	5.387970576E-6
2.874000000E2	-3.516110157E-6	5.388146023E-6
2.874333333E2	-3.514832995E-6	5.388068037E-6
2.874666667E2	-3.513684484E-6	5.387769869E-6
2.875000000E2	-3.511188874E-6	5.471513339E-6
2.875333333E2	-3.511491011E-6	5.475767368E-6
2.875666667E2	-3.511446211E-6	5.478356556E-6
2.876000000E2	-3.511527897E-6	5.480037320E-6
2.876333333E2	-3.624822728E-6	5.433940964E-6
2.876666667E2	-3.618863757E-6	5.434614069E-6
2.877000000E2	-3.614945464E-6	5.434287736E-6
2.877333333E2	-3.526607556E-6	5.306708111E-6
2.877666667E2	-3.521070433E-6	5.299296657E-6
2.878000000E2	-3.517839670E-6	5.296491016E-6
2.878333333E2	-3.515566762E-6	5.294469619E-6
2.878666667E2	-3.421447250E-6	5.309287852E-6
2.879000000E2	-3.418993561E-6	5.301696323E-6
2.879333333E2	-3.417304068E-6	5.297846591E-6
2.879666667E2	-3.417094884E-6	5.296216956E-6
2.880000000E2	-3.416478156E-6	5.121426733E-6
2.880333333E2	-3.416235118E-6	5.112170833E-6
2.880666667E2	-3.416012322E-6	5.107047089E-6
2.881000000E2	-3.415851716E-6	5.103968358E-6
2.881333333E2	-3.466403465E-6	5.293411578E-6
2.881666667E2	-3.465298271E-6	5.292655130E-6
2.882000000E2	-3.464551456E-6	5.292137146E-6
2.882333333E2	-3.464115844E-6	5.291792774E-6
2.882666667E2	-3.382103632E-6	5.302348127E-6
2.883000000E2	-3.376088581E-6	5.298041598E-6
2.883333333E2	-3.373011139E-6	5.295576696E-6
2.883666667E2	-3.371047913E-6	5.293947452E-6
2.884000000E2	-3.414271557E-6	5.371944689E-6
2.884333333E2	-3.415029568E-6	5.378084869E-6
2.884666667E2	-3.416555626E-6	5.381213254E-6
2.885000000E2	-3.416084151E-6	5.383316223E-6
2.885333333E2	-3.648927507E-6	5.414217843E-6
2.885666667E2	-3.651463078E-6	5.425123854E-6
2.886000000E2	-3.653453113E-6	5.429767312E-6
2.886333333E2	-3.654286482E-6	5.431976084E-6
2.886666667E2	-3.737699704E-6	5.535996845E-6
2.887000000E2	-3.744194392E-6	5.534614624E-6
2.887333333E2	-3.748269115E-6	5.533208626E-6
2.887666667E2	-3.749807719E-6	5.532698941E-6
2.888000000E2	-3.656278540E-6	5.545707568E-6
2.888333333E2	-3.656236010E-6	5.539951435E-6
2.888666667E2	-3.656337496E-6	5.537080911E-6
2.889000000E2	-3.656072269E-6	5.535071491E-6
2.889333333E2	-3.555589036E-6	5.557905183E-6
2.889666667E2	-3.556949088E-6	5.568599391E-6
2.890000000E2	-3.556367703E-6	5.577078838E-6
2.890333333E2	-3.557494012E-6	5.577924354E-6
2.890666667E2	-3.461485735E-6	5.679253170E-6
2.891000000E2	-3.462248873E-6	5.677746718E-6
2.891333333E2	-3.462787479E-6	5.676747221E-6
2.891666667E2	-3.463006213E-6	5.676331568E-6
2.892000000E2	-3.501801011E-6	5.871218102E-6
2.892333333E2	-3.506015456E-6	5.870204651E-6
2.892666667E2	-3.508074120E-6	5.869519198E-6
2.893000000E2	-3.509308079E-6	5.869071831E-6
2.893333333E2	-3.560716132E-6	5.676800753E-6
2.893666667E2	-3.560204599E-6	5.676401016E-6
2.894000000E2	-3.560678723E-6	5.675813495E-6
2.894333333E2	-3.560273132E-6	5.675677244E-6
2.894666667E2	-3.603326814E-6	5.863017291E-6
2.895000000E2	-3.604429130E-6	5.864263418E-6
2.895333333E2	-3.605350020E-6	5.865601823E-6
2.895666667E2	-3.606082693E-6	5.866340013E-6
